property_id,Property_Title,Address,Market,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Rent_Restricted,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
1504,"37032 Rivera Lights, Lake Jessica, IL 94926","37032 Rivera Lights, Lake Jessica, IL 94926",Dalas,,37032 Rivera Lights,Lake Jessica,IL,94926,Duplex,,,1.3,1104,No,No,Yes,,City,1969,2123,8774,Garage,5,2,,,No,5,41.605356,-91.000054,Fort,8.35
1505,"15743 Kevin Camp, East Sean, OR 25731","15743 Kevin Camp, East Sean, OR 25731",Tampa,Flood Zone,15743 Kevin Camp,East Sean,OR,25731,Townhouse,Far,Near,1.21,1734,Yes,No,No,City,,1956,839,8103,Garage,4,3,Yes,Ranch,No,1,35.548487,-100.693211,Loop,3.07
1506,"79068 Thomas Islands Suite 722, Port James, RI 43887","79068 Thomas Islands Suite 722, Port James, RI 43887",Chicgo,Minimal Flood,79068 Thomas Islands Suite 722,Port James,RI,43887,Townhouse,,Near,1.68,1367,Yes,Yes,,,City,1984,2030,6477,Garage,3,3,,,,4,40.231577,-73.289323,Glen,4.36
1507,"2313 Joseph Parkways, Robinsonberg, WI 08558","2313 Joseph Parkways, Robinsonberg, WI 08558",Atlanta,Minimal Flood,2313 Joseph Parkways,Robinsonberg,WI,08558,Single Family Home,Near,Far,1.62,1814,Yes,,No,,Septic,1956,1954,4850,Driveway,5,2,,,Yes,3,36.471527,-111.748859,Extensions,7.79
1508,"856 Arias Crossing, East Brian, WI 34052","856 Arias Crossing, East Brian, WI 34052",Atlanta,,856 Arias Crossing,East Brian,WI,34052,Duplex,Far,Near,2.1,792,Yes,No,,Well,City,1939,1221,5779,Garage,4,2,No,Colonial,,4,36.771887,-85.75424,Key,3.65
1509,"438 Jackson Corner, Jamieberg, VA 69470","438 Jackson Corner, Jamieberg, VA 69470",Chicago,Minimal Flood,438 Jackson Corner,Jamieberg,VA,69470,Condo,Far,Far,2.6,337,,,,Well,Septic,2021,1991,6007,Garage,3,3,,,Yes,1,34.177109,-114.925714,Inlet,4.9
1510,"9531 Stacey Drives, Jeffreyville, NY 38361","9531 Stacey Drives, Jeffreyville, NY 38361",Dalas,,9531 Stacey Drives,Jeffreyville,NY,38361,Townhouse,Near,,1.34,821,No,No,No,,,1947,3413,7203,Driveway,6,2,Yes,Ranch,,3,38.06302,-87.172517,Manor,5.26
1511,"994 Lauren Port Apt. 265, South Justin, TX 19639","994 Lauren Port Apt. 265, South Justin, TX 19639",Florida,Flood Zone,994 Lauren Port Apt. 265,South Justin,TX,19639,Duplex,Far,Far,2.24,1057,No,No,No,City,,1935,630,7899,Street,6,2,,Ranch,Yes,1,39.670058,-102.474446,Path,5.28
1512,"46745 Larson Plain, East Valerieport, HI 61094","46745 Larson Plain, East Valerieport, HI 61094",Dallas,Flood Zone,46745 Larson Plain,East Valerieport,HI,61094,Duplex,Far,,2.82,392,,Yes,,City,Septic,1986,1797,7985,Driveway,1,3,Yes,Split,,4,41.355166,-73.569083,Overpass,3.59
1513,"6709 Walsh Viaduct Apt. 255, Port Jeanne, IL 01011","6709 Walsh Viaduct Apt. 255, Port Jeanne, IL 01011",Tampa,,6709 Walsh Viaduct Apt. 255,Port Jeanne,IL,01011,SFR,Far,Near,2.76,354,,Yes,,,Septic,1975,2290,6433,Garage,5,1,Yes,Ranch,,4,35.190757,-113.836055,Shoals,3.17
1514,"451 Brandy Stream, Alyssabury, CO 18745","451 Brandy Stream, Alyssabury, CO 18745",Florida,Flood Zone,451 Brandy Stream,Alyssabury,CO,18745,Duplex,Far,,2.55,1797,No,No,Yes,,,1921,840,7585,Driveway,2,2,,Ranch,,3,37.468709,-98.709362,Views,8.58
1515,"891 Smith Lakes, West Rebeccatown, MO 73654","891 Smith Lakes, West Rebeccatown, MO 73654",Dallas,Flood Zone,891 Smith Lakes,West Rebeccatown,MO,73654,Single Family Home,Far,Far,3.31,1801,,,No,City,,2024,1723,9405,Driveway,5,1,,Ranch,Yes,4,33.669921,-99.674104,Skyway,9.4
1516,"275 Kenneth Fords, Davidbury, DC 46964","275 Kenneth Fords, Davidbury, DC 46964",Chicgo,,275 Kenneth Fords,Davidbury,DC,46964,Condo,Near,Far,1.58,1622,,,Yes,Well,City,1976,2795,6042,Garage,1,4,Yes,Split,,4,34.284019,-98.587038,Mission,6.68
1517,"055 Phillips Burg, Lake Thomashaven, WI 59874","055 Phillips Burg, Lake Thomashaven, WI 59874",Tampa,Flood Zone,055 Phillips Burg,Lake Thomashaven,WI,59874,SFR,,Far,1.18,1843,Yes,,,Well,City,2009,987,8225,Street,3,4,,Ranch,Yes,3,38.059243,-99.717561,Ports,4.79
1518,"81135 Amy Shores, South Alyssaland, FL 47564","81135 Amy Shores, South Alyssaland, FL 47564",Dallas,,81135 Amy Shores,South Alyssaland,FL,47564,Townhouse,,Far,1.82,786,No,,No,,,1927,3076,5495,Driveway,3,3,Yes,,,1,41.904995,-113.844437,Well,9.07
1519,"854 Brenda Canyon Suite 857, Sarahhaven, OK 60486","854 Brenda Canyon Suite 857, Sarahhaven, OK 60486",Florida,Minimal Flood,854 Brenda Canyon Suite 857,Sarahhaven,OK,60486,Duplex,Far,Near,3.35,1338,Yes,Yes,No,Well,City,1933,1496,5936,Street,6,2,No,Ranch,No,3,36.594256,-83.919113,Garden,9.2
1520,"66229 Barbara Coves, New Shelly, LA 20287","66229 Barbara Coves, New Shelly, LA 20287",Florida,,66229 Barbara Coves,New Shelly,LA,20287,Townhouse,Near,Near,3.13,1989,No,,No,,City,1944,574,5540,Street,1,2,,Ranch,No,3,37.98656,-85.043228,Harbors,5.93
1521,"3140 Smith Station Apt. 785, New Matthewborough, MO 77620","3140 Smith Station Apt. 785, New Matthewborough, MO 77620",Dalas,Flood Zone,3140 Smith Station Apt. 785,New Matthewborough,MO,77620,SFR,Far,Near,2.11,170,Yes,,,Well,City,1967,2304,9230,Garage,3,2,No,Ranch,Yes,1,38.113733,-117.037153,Radial,5.34
1522,"444 Schwartz Neck, Jonesfurt, KY 48498","444 Schwartz Neck, Jonesfurt, KY 48498",Florida,Flood Zone,444 Schwartz Neck,Jonesfurt,KY,48498,Single Family Home,Far,Far,3.16,178,,No,Yes,City,,1950,918,4612,Street,5,3,Yes,,No,2,33.660833,-108.264937,Estate,4.06
1523,"82149 Tracy Crossing, Port Danielland, CT 39816","82149 Tracy Crossing, Port Danielland, CT 39816",Dallas,Flood Zone,82149 Tracy Crossing,Port Danielland,CT,39816,Duplex,,Near,3.28,646,No,No,No,Well,City,2004,847,7531,,3,1,Yes,Ranch,No,1,37.968883,-110.878117,Radial,6.2
1524,"1633 Hernandez Pine Apt. 828, West Christy, KS 43675","1633 Hernandez Pine Apt. 828, West Christy, KS 43675",Chicago,Flood Zone,1633 Hernandez Pine Apt. 828,West Christy,KS,43675,Single Family Home,Near,Far,2.89,1907,No,Yes,Yes,City,Septic,2011,2600,7131,Garage,6,3,Yes,,No,4,33.518941,-106.218873,Hills,5.55
1525,"16169 Martin Landing, Justinport, NY 32023","16169 Martin Landing, Justinport, NY 32023",Chicgo,Minimal Flood,16169 Martin Landing,Justinport,NY,32023,SFR,Near,,1.45,1145,,Yes,,,,1932,3044,8392,Street,4,4,Yes,Ranch,,5,35.563337,-98.272103,Canyon,6.57
1526,"53314 Preston Alley Apt. 575, North Jaredview, WV 59404","53314 Preston Alley Apt. 575, North Jaredview, WV 59404", ,Minimal Flood,53314 Preston Alley Apt. 575,North Jaredview,WV,59404,Condo,Near,Far,3.03,486,Yes,,No,Well,City,1969,2391,6828,Garage,4,4,No,Ranch,Yes,1,40.841338,-99.742925,Prairie,4.32
1527,"790 Smith Summit Suite 622, South Lauren, OH 74893","790 Smith Summit Suite 622, South Lauren, OH 74893",Chicgo,Flood Zone,790 Smith Summit Suite 622,South Lauren,OH,74893,SFR,Near,,2.67,719,No,No,No,City,,1987,2642,8322,Driveway,3,4,,Ranch,No,4,38.986497,-109.272644,Locks,8.01
1528,"2837 Rachel Groves Apt. 394, East Troy, ME 72531","2837 Rachel Groves Apt. 394, East Troy, ME 72531",Atlanta,Minimal Flood,2837 Rachel Groves Apt. 394,East Troy,ME,72531,Duplex,,Far,1.21,642,Yes,,No,City,City,1929,901,6204,Driveway,2,3,Yes,Ranch,No,4,35.119179,-82.05531,Island,4.75
1529,"61914 Abigail Drive, Gayport, HI 95240","61914 Abigail Drive, Gayport, HI 95240",Atlanta,,61914 Abigail Drive,Gayport,HI,95240,Single Family Home,Far,Far,2.2,1267,,,No,City,City,2006,1739,7116,Street,4,2,No,Split,,1,38.734387,-105.020218,Hollow,4.1
1530,"6287 Thompson Locks, South Angela, IN 89511","6287 Thompson Locks, South Angela, IN 89511", ,Flood Zone,6287 Thompson Locks,South Angela,IN,89511,Duplex,Near,Far,3.33,243,No,,Yes,,,1978,2289,7235,Driveway,3,3,No,Ranch,,3,36.728867,-100.650649,Locks,5.53
1531,"7957 Colleen Stream Suite 473, New Jerry, WY 90161","7957 Colleen Stream Suite 473, New Jerry, WY 90161",Chicgo,Minimal Flood,7957 Colleen Stream Suite 473,New Jerry,WY,90161,Townhouse,Far,,1.31,1969,,No,,Well,City,1930,1915,7903,Street,3,1,No,Colonial,Yes,5,39.759302,-117.255274,Spurs,5.73
1532,"59319 Rodriguez Camp, North Michael, NJ 22415","59319 Rodriguez Camp, North Michael, NJ 22415",Florida,Flood Zone,59319 Rodriguez Camp,North Michael,NJ,22415,Single Family Home,Far,Far,2.67,719,,No,No,,City,2014,2771,6789,Street,2,4,,Split,No,4,37.705032,-74.840275,Mount,3.34
1533,"71564 Alexander Plains Suite 747, Nancybury, OH 63442","71564 Alexander Plains Suite 747, Nancybury, OH 63442",Tampa,,71564 Alexander Plains Suite 747,Nancybury,OH,63442,Condo,,,3.2,49,Yes,No,No,Well,City,2010,1573,9290,Street,4,3,Yes,Colonial,No,4,41.188581,-86.537981,Highway,5.03
1534,"70091 Daniels Fields Suite 045, Kennethborough, MA 15729","70091 Daniels Fields Suite 045, Kennethborough, MA 15729",Florida,Minimal Flood,70091 Daniels Fields Suite 045,Kennethborough,MA,15729,Duplex,,Near,2.22,125,No,No,No,Well,,1950,788,9452,Garage,5,3,No,,Yes,2,34.390993,-117.516878,Union,9.67
1535,"6281 Jody Estate, North Michael, UT 27244","6281 Jody Estate, North Michael, UT 27244",Florida,,6281 Jody Estate,North Michael,UT,27244,Townhouse,,Near,3.11,1976,,,,,Septic,2002,3462,6071,Street,5,2,No,Ranch,,1,37.893269,-107.19165,Forest,4.36
1536,"754 Gomez Park, Jimenezside, RI 13378","754 Gomez Park, Jimenezside, RI 13378", ,Minimal Flood,754 Gomez Park,Jimenezside,RI,13378,Duplex,,Far,1.48,804,Yes,,,,Septic,1975,674,3807,Garage,6,1,Yes,,,5,36.753854,-112.341387,Estate,9.58
1537,"84490 Martin Springs Apt. 452, Jacksonmouth, IA 77612","84490 Martin Springs Apt. 452, Jacksonmouth, IA 77612",Dalas,,84490 Martin Springs Apt. 452,Jacksonmouth,IA,77612,Single Family Home,,Far,2.94,561,No,No,,Well,City,2000,562,5294,Driveway,3,3,,Colonial,,3,35.212606,-87.181183,Lock,7.17
1538,"613 Moss Stravenue, Port Mitchellstad, OR 48571","613 Moss Stravenue, Port Mitchellstad, OR 48571",Dalas,Minimal Flood,613 Moss Stravenue,Port Mitchellstad,OR,48571,Single Family Home,Far,Near,2.21,2000,Yes,No,,Well,,1984,3403,8131,Driveway,2,4,Yes,Split,No,4,39.514759,-102.55749,Mews,8.76
1539,"416 Rebecca Mill, Stevenborough, NH 69405","416 Rebecca Mill, Stevenborough, NH 69405",Chicgo,,416 Rebecca Mill,Stevenborough,NH,69405,SFR,Far,,1.2,1668,,Yes,No,,,1969,1100,8576,,6,4,Yes,Colonial,No,2,34.576774,-104.720291,Stravenue,5.7
1540,"05637 Williams Groves Suite 515, Whiteburgh, TX 81053","05637 Williams Groves Suite 515, Whiteburgh, TX 81053",Chicago,Flood Zone,05637 Williams Groves Suite 515,Whiteburgh,TX,81053,Duplex,,,2.0,1639,Yes,,No,,Septic,2023,2495,4913,Street,5,3,,Colonial,No,4,40.273244,-89.82706,Alley,5.79
1541,"61687 Jessica Point Apt. 083, Gibsonstad, ID 19435","61687 Jessica Point Apt. 083, Gibsonstad, ID 19435",Chicgo,Minimal Flood,61687 Jessica Point Apt. 083,Gibsonstad,ID,19435,Duplex,Near,Near,1.49,9,,Yes,No,City,City,1929,3393,3811,,4,3,No,Colonial,,2,39.532096,-103.436518,Isle,7.33
1542,"65542 Sylvia Drive, Cruzmouth, AL 63314","65542 Sylvia Drive, Cruzmouth, AL 63314", ,Minimal Flood,65542 Sylvia Drive,Cruzmouth,AL,63314,Duplex,Near,,2.02,193,,Yes,,City,Septic,1955,2387,4351,Driveway,6,1,No,,Yes,2,34.959662,-75.036962,Points,9.88
1543,"045 Roy Junction, Lake Samuelland, MO 16009","045 Roy Junction, Lake Samuelland, MO 16009",Chicgo,Flood Zone,045 Roy Junction,Lake Samuelland,MO,16009,Condo,Far,,2.65,1343,No,,Yes,Well,City,1990,2105,6903,Street,6,3,Yes,Split,Yes,4,41.582745,-100.485915,Port,9.55
1544,"84421 Kara Crescent Suite 305, Lake Patriciafort, VA 48405","84421 Kara Crescent Suite 305, Lake Patriciafort, VA 48405",Chicgo,,84421 Kara Crescent Suite 305,Lake Patriciafort,VA,48405,Townhouse,Near,,3.2,1140,No,No,Yes,,,1964,1862,6140,Street,6,4,,,No,2,41.181441,-114.445738,Shore,8.48
1545,"257 Hansen Drives, Traciborough, WY 30613","257 Hansen Drives, Traciborough, WY 30613",Chicgo,,257 Hansen Drives,Traciborough,WY,30613,SFR,Far,Far,1.83,381,,Yes,No,City,City,1979,2614,7796,Street,3,4,,Ranch,Yes,4,39.376275,-85.800558,Walks,7.25
1546,"912 Richard Extensions, Lake Johnville, MH 40593","912 Richard Extensions, Lake Johnville, MH 40593",Chicgo,Minimal Flood,912 Richard Extensions,Lake Johnville,MH,40593,Duplex,Near,Near,1.65,371,,,No,,,1929,1627,5184,Garage,5,4,Yes,Ranch,No,4,33.779032,-115.823279,Street,5.98
1547,"7657 Lynn Square Apt. 185, Johnview, MA 91401","7657 Lynn Square Apt. 185, Johnview, MA 91401", ,Flood Zone,7657 Lynn Square Apt. 185,Johnview,MA,91401,Condo,,Near,2.97,1486,,Yes,No,City,City,1993,2479,4337,Driveway,2,1,,Split,,1,33.987202,-84.681324,Turnpike,5.39
1548,"639 Kelly Centers, North Steven, NH 80568","639 Kelly Centers, North Steven, NH 80568",Tampa,Minimal Flood,639 Kelly Centers,North Steven,NH,80568,Townhouse,Near,Near,3.39,1446,No,No,,City,Septic,1937,2414,4227,Driveway,3,2,Yes,,,5,41.692538,-75.616098,Station,5.74
1549,"664 Chapman Isle Apt. 517, New Jeremy, HI 74153","664 Chapman Isle Apt. 517, New Jeremy, HI 74153",Chicago,Flood Zone,664 Chapman Isle Apt. 517,New Jeremy,HI,74153,Condo,Far,Far,2.72,1788,Yes,Yes,No,,City,1943,1847,5716,Driveway,4,3,,Colonial,Yes,2,37.04404,-102.61962,Lake,4.06
1550,"9997 Nelson Gateway, Alexandermouth, WV 61157","9997 Nelson Gateway, Alexandermouth, WV 61157",Dallas,Minimal Flood,9997 Nelson Gateway,Alexandermouth,WV,61157,Townhouse,Near,Far,1.62,737,,,No,Well,City,1980,1975,5976,Garage,4,3,Yes,Colonial,,5,39.25512,-110.441222,Course,4.53
1551,"0962 Brian Bypass Apt. 713, Danielstad, MN 17491","0962 Brian Bypass Apt. 713, Danielstad, MN 17491",Dalas,Flood Zone,0962 Brian Bypass Apt. 713,Danielstad,MN,17491,Single Family Home,Near,Far,2.14,217,Yes,Yes,No,City,City,1933,1309,6155,Driveway,3,4,No,Ranch,No,5,33.059176,-106.106148,Square,3.18
1552,"327 Martin Greens, South Jamesport, GU 77257","327 Martin Greens, South Jamesport, GU 77257",Chicgo,,327 Martin Greens,South Jamesport,GU,77257,Duplex,Far,,1.23,1048,No,Yes,No,,City,1977,1380,9812,Driveway,1,2,,Colonial,,4,41.786716,-87.406378,Corner,5.5
1553,"90406 Michael View Suite 421, West Paulfort, FM 55519","90406 Michael View Suite 421, West Paulfort, FM 55519", ,,90406 Michael View Suite 421,West Paulfort,FM,55519,SFR,,Far,2.34,831,,,,City,Septic,1988,2696,7216,Garage,3,3,No,Ranch,No,4,36.688773,-78.410652,Lodge,5.78
1554,"686 Watkins Vista Apt. 107, Lake Crystal, AZ 75715","686 Watkins Vista Apt. 107, Lake Crystal, AZ 75715",Dallas,Flood Zone,686 Watkins Vista Apt. 107,Lake Crystal,AZ,75715,Townhouse,Near,,1.25,1559,No,No,No,,Septic,1957,2075,5810,Street,6,2,Yes,Split,No,3,41.415516,-98.328902,Radial,5.66
1555,"295 Duane Pines Suite 356, West Carlyville, MD 33879","295 Duane Pines Suite 356, West Carlyville, MD 33879",Chicgo,Flood Zone,295 Duane Pines Suite 356,West Carlyville,MD,33879,Condo,Far,Near,1.93,1922,,No,Yes,City,Septic,1943,2661,9440,,3,3,,,Yes,2,37.19929,-82.273161,Glens,3.36
1556,"941 Laura Station, Port Benjaminland, IL 37275","941 Laura Station, Port Benjaminland, IL 37275",Chicago,Minimal Flood,941 Laura Station,Port Benjaminland,IL,37275,Duplex,Far,,1.42,1700,No,No,No,Well,City,2002,3141,7024,Street,4,4,,,,4,39.852151,-86.147933,Row,8.09
1557,"89921 Hood Lake, Lake Kristitown, ME 56636","89921 Hood Lake, Lake Kristitown, ME 56636",Dalas,Minimal Flood,89921 Hood Lake,Lake Kristitown,ME,56636,Townhouse,Near,Far,2.81,1213,,Yes,Yes,,,1955,1223,8302,Street,2,1,No,Colonial,Yes,3,41.553322,-97.772972,Meadow,5.75
1558,"7011 Jones Route, Moralesbury, NC 23335","7011 Jones Route, Moralesbury, NC 23335", ,Minimal Flood,7011 Jones Route,Moralesbury,NC,23335,Single Family Home,Near,Far,2.25,1585,No,,Yes,Well,Septic,1926,3253,5178,Garage,3,2,,Colonial,Yes,4,38.143056,-77.43467,Gateway,5.22
1559,"8180 Kyle Trail Suite 850, South Don, AZ 64362","8180 Kyle Trail Suite 850, South Don, AZ 64362",Atlanta,Minimal Flood,8180 Kyle Trail Suite 850,South Don,AZ,64362,SFR,,,2.17,442,,No,No,,Septic,1920,1235,7525,Driveway,6,3,,Ranch,No,3,33.315354,-88.843153,Squares,6.95
1560,"5954 James Island Suite 607, Montoyaburgh, FL 82336","5954 James Island Suite 607, Montoyaburgh, FL 82336",Chicago,Flood Zone,5954 James Island Suite 607,Montoyaburgh,FL,82336,Duplex,Far,,1.19,1288,,No,Yes,,,1959,3413,9076,,2,4,Yes,Ranch,,5,35.135672,-80.455946,Via,3.63
1561,"84301 Brian Ways Suite 125, Robyntown, ND 05621","84301 Brian Ways Suite 125, Robyntown, ND 05621",Florida,Flood Zone,84301 Brian Ways Suite 125,Robyntown,ND,05621,Duplex,,Far,1.36,1638,No,,No,Well,City,1942,2330,8051,Driveway,3,3,Yes,Colonial,,1,39.620543,-86.226535,Hill,4.9
1562,"097 Billy Mission Apt. 715, Lake Dana, UT 47976","097 Billy Mission Apt. 715, Lake Dana, UT 47976",Florida,Minimal Flood,097 Billy Mission Apt. 715,Lake Dana,UT,47976,Townhouse,Far,Near,1.85,414,No,Yes,,City,Septic,2002,2119,8462,Street,3,1,No,Ranch,Yes,2,35.928715,-112.056988,Glens,9.53
1563,"6331 Seth Coves, East Melissa, LA 13711","6331 Seth Coves, East Melissa, LA 13711",Dalas,Minimal Flood,6331 Seth Coves,East Melissa,LA,13711,SFR,Far,Near,2.64,344,No,Yes,Yes,Well,City,2001,1642,5490,Driveway,2,3,Yes,Ranch,No,3,36.016226,-91.935647,Drive,5.21
1564,"3544 James Hollow, Lake Colleenmouth, MI 50780","3544 James Hollow, Lake Colleenmouth, MI 50780",Dallas,Minimal Flood,3544 James Hollow,Lake Colleenmouth,MI,50780,Duplex,Far,Near,1.13,1944,No,Yes,No,Well,,1997,2426,5119,Street,6,1,Yes,,Yes,1,33.730616,-100.153665,Isle,9.1
1565,"521 Houston Track Suite 577, West Justinmouth, NC 91729","521 Houston Track Suite 577, West Justinmouth, NC 91729",Dalas,Flood Zone,521 Houston Track Suite 577,West Justinmouth,NC,91729,Duplex,Near,,2.39,1304,No,No,No,Well,,1986,660,6973,,4,1,No,Colonial,,4,38.44974,-85.627895,Streets,4.62
1566,"74074 Scott Haven Apt. 073, Lake Cassandra, FL 82398","74074 Scott Haven Apt. 073, Lake Cassandra, FL 82398",Chicgo,Flood Zone,74074 Scott Haven Apt. 073,Lake Cassandra,FL,82398,Duplex,Far,Near,2.7,1944,No,,,,,1974,2734,3761,Street,4,3,,Ranch,,3,40.455762,-115.82952,Mews,3.21
1567,"2879 Taylor Roads, Phillipsberg, ND 70204","2879 Taylor Roads, Phillipsberg, ND 70204",Florida,,2879 Taylor Roads,Phillipsberg,ND,70204,SFR,Far,Far,3.1,1147,,,Yes,City,City,1995,2144,6032,Driveway,6,3,,,No,2,37.337668,-107.047757,Trail,3.84
1568,"066 Santana Pass Suite 351, Guerrerofurt, NV 85303","066 Santana Pass Suite 351, Guerrerofurt, NV 85303",Dallas,,066 Santana Pass Suite 351,Guerrerofurt,NV,85303,Townhouse,,Near,2.09,625,Yes,,Yes,,Septic,1980,3411,6864,Street,6,1,,Ranch,Yes,5,38.861364,-103.467396,Pass,4.27
1569,"105 Hendrix Underpass, West Todd, ME 40536","105 Hendrix Underpass, West Todd, ME 40536",Tampa,Flood Zone,105 Hendrix Underpass,West Todd,ME,40536,Townhouse,Far,Far,1.64,494,No,Yes,Yes,,City,1962,2783,3968,,6,1,,Split,Yes,1,34.562449,-114.836265,Station,9.56
1570,"0646 Anthony Plaza, Lake Derrick, IN 45703","0646 Anthony Plaza, Lake Derrick, IN 45703",Tampa,Flood Zone,0646 Anthony Plaza,Lake Derrick,IN,45703,Condo,Near,Near,2.08,682,No,No,Yes,City,,2021,1238,5974,Street,2,4,No,Colonial,Yes,4,37.067629,-90.448163,Islands,6.69
1571,"211 Brittany Ferry, Oscarview, RI 20968","211 Brittany Ferry, Oscarview, RI 20968",Atlanta,Flood Zone,211 Brittany Ferry,Oscarview,RI,20968,Townhouse,,Near,2.02,1318,Yes,No,No,,Septic,1993,2688,3514,Driveway,6,3,No,,No,4,37.886926,-114.366,Crossroad,3.6
1572,"2573 Hall Springs Apt. 818, Williammouth, MN 40921","2573 Hall Springs Apt. 818, Williammouth, MN 40921",Dalas,,2573 Hall Springs Apt. 818,Williammouth,MN,40921,Condo,Far,Far,2.24,986,,,Yes,,Septic,1948,2014,5592,Driveway,3,2,Yes,,No,1,38.445544,-77.873295,Canyon,8.11
1573,"3092 Thomas Walk, Lake Lauraville, MI 65370","3092 Thomas Walk, Lake Lauraville, MI 65370",Tampa,,3092 Thomas Walk,Lake Lauraville,MI,65370,Condo,Far,Near,2.8,1684,No,,,Well,,1935,3414,6277,Driveway,1,4,,Colonial,,3,34.116202,-79.098399,Station,7.14
1574,"350 Byrd Stravenue Suite 662, Johnland, CO 89783","350 Byrd Stravenue Suite 662, Johnland, CO 89783",Florida,Flood Zone,350 Byrd Stravenue Suite 662,Johnland,CO,89783,Single Family Home,Near,Far,2.46,1768,No,No,No,City,City,1994,880,7269,Street,6,2,No,Colonial,No,5,34.934753,-95.189028,Run,7.41
1575,"56004 Elizabeth Plaza, Bethburgh, ME 27542","56004 Elizabeth Plaza, Bethburgh, ME 27542",Tampa,Minimal Flood,56004 Elizabeth Plaza,Bethburgh,ME,27542,Single Family Home,Far,Far,2.43,1097,,No,,,Septic,1988,1485,9699,Street,2,3,,Split,No,3,35.331689,-87.462251,Prairie,4.34
1576,"3298 Lauren Burgs, Lake Carolview, MD 69880","3298 Lauren Burgs, Lake Carolview, MD 69880",Dallas,Flood Zone,3298 Lauren Burgs,Lake Carolview,MD,69880,SFR,Far,Far,1.14,729,Yes,Yes,Yes,Well,,2009,898,9592,Street,5,1,,,No,4,40.283657,-110.704452,Bypass,7.7
1577,"355 Hill Mountains Suite 862, East Edwardtown, SD 98442","355 Hill Mountains Suite 862, East Edwardtown, SD 98442",Dalas,Flood Zone,355 Hill Mountains Suite 862,East Edwardtown,SD,98442,Townhouse,Far,Far,2.13,502,Yes,Yes,Yes,Well,,1986,1377,7854,Driveway,4,2,Yes,Colonial,Yes,1,33.813876,-95.681066,Freeway,9.39
1578,"36858 Floyd Views Apt. 987, Matthewsside, MA 76976","36858 Floyd Views Apt. 987, Matthewsside, MA 76976",Dallas,Minimal Flood,36858 Floyd Views Apt. 987,Matthewsside,MA,76976,Condo,Far,,1.54,442,,No,No,,,1954,1472,4644,Garage,1,4,,Ranch,,4,40.338142,-94.673611,Roads,8.14
1579,"83399 Rojas Green, Markton, PA 36049","83399 Rojas Green, Markton, PA 36049",Tampa,Minimal Flood,83399 Rojas Green,Markton,PA,36049,SFR,,,1.86,1270,Yes,,No,Well,Septic,2007,798,6356,Garage,6,4,No,Ranch,No,4,41.779458,-116.718051,Trace,5.76
1580,"0381 Christina Summit, East Jessicachester, PW 18929","0381 Christina Summit, East Jessicachester, PW 18929",Dallas,,0381 Christina Summit,East Jessicachester,PW,18929,Duplex,Far,Far,1.17,1326,,Yes,,Well,City,1965,2115,8893,Driveway,3,1,,,,4,39.419088,-112.328309,Trail,4.53
1581,"084 Edward Grove, Nealchester, CT 11380","084 Edward Grove, Nealchester, CT 11380",Atlanta,,084 Edward Grove,Nealchester,CT,11380,Townhouse,,Far,2.48,1840,,No,No,City,,2020,2849,8306,Street,4,4,,,,4,37.097112,-116.302196,Island,7.87
1582,"518 Singh Manor, Anthonyhaven, AK 08856","518 Singh Manor, Anthonyhaven, AK 08856",Tampa,,518 Singh Manor,Anthonyhaven,AK,08856,Condo,Far,Far,2.41,1476,,,No,Well,Septic,2023,1940,7120,Driveway,5,3,No,Ranch,No,3,34.811555,-114.595737,Inlet,5.2
1583,"26735 Jason Islands, Lake Joanne, WI 50255","26735 Jason Islands, Lake Joanne, WI 50255",Atlanta,Flood Zone,26735 Jason Islands,Lake Joanne,WI,50255,Condo,Far,,2.96,629,No,No,Yes,City,,1990,3162,7109,Garage,4,3,Yes,Ranch,No,3,35.798635,-104.294994,Groves,4.89
1584,"4054 Bonnie Turnpike Apt. 587, Port Daniel, WA 17343","4054 Bonnie Turnpike Apt. 587, Port Daniel, WA 17343", ,Flood Zone,4054 Bonnie Turnpike Apt. 587,Port Daniel,WA,17343,Townhouse,Near,,3.43,1679,Yes,,Yes,Well,,1951,1787,7447,Driveway,5,4,Yes,Ranch,Yes,3,34.571696,-95.870755,Lodge,7.23
1585,"77835 Hunter Springs, Bakertown, AK 13101","77835 Hunter Springs, Bakertown, AK 13101",Chicago,Minimal Flood,77835 Hunter Springs,Bakertown,AK,13101,Townhouse,Near,Far,2.01,787,Yes,Yes,No,City,City,1962,2987,9275,Driveway,4,1,No,Split,No,5,34.878156,-96.379409,Park,4.11
1586,"96864 Martinez Estates Suite 416, Lake Christopherport, ND 54514","96864 Martinez Estates Suite 416, Lake Christopherport, ND 54514",Chicgo,Minimal Flood,96864 Martinez Estates Suite 416,Lake Christopherport,ND,54514,Condo,Near,Far,1.21,932,No,,Yes,Well,,1923,3340,6293,Garage,5,4,No,,,4,40.612956,-107.016509,Plains,5.23
