property_id,Reviewed_Status,Most_Recent_Status,Source,Occupancy,Net_Yield,IRR,Selling_Reason,Seller_Retained_Broker,Final_Reviewer,leads_id
1674,Neww,Null,Opendoor,Yes,11.28,29.47,Job Transfer,No,Emily Patel,1674
1675,Offered, ,Opendoor,Yes,12.11,16.64,,Yes,Jason Miller,1675
1676,Neww, Close ,Opendoor,Yes,12.81,20.53,Downsizing,No,David Thompson,1676
1677,New, Close ,Broker,,6.53,10.7,Job Transfer,Yes,Sophia Williams,1677
1678,Reviewed,Available,Opendoor,Yes,12.31,23.12,Job Transfer,No,David Thompson,1678
1679,Neww,Cancel,Bulk,Yes,10.02,26.46,Downsizing,,Samantha Pierce,1679
1680,Cancelled,Close,Auction.com,No,8.92,9.21,Investor Sale,,Michael Chen,1680
1681, , ,Internal,No,14.69,13.56,Job Transfer,No,David Thompson,1681
1682,Reviewed,Pend,Auction.com,,8.47,22.45,Investor Sale,,Samantha Pierce,1682
1683, ,Pend,Opendoor,No,7.66,26.36,Job Transfer,No,Priya Sharma,1683
1684, Closed, ,Broker,,5.24,22.25,Job Transfer,Yes,David Thompson,1684
1685,Neww,Pend,Bulk,No,12.8,15.36,Investor Sale,Yes,Priya Sharma,1685
1686, ,Kick,Bulk,Yes,13.88,9.73,,,Jessica Lin,1686
1687,Closed,Pend,Internal,,14.78,19.74,Downsizing,,Michael Chen,1687
1688,New,Closed,Auction.com,,16.83,29.58,Job Transfer,No,Emily Patel,1688
1689,Null,Closed, MLS,,10.63,22.23,Job Transfer,,Emily Patel,1689
1690, Closed,Always Kick,M.L.S.,Yes,17.94,20.54,Investor Sale,,Jason Miller,1690
1691, ,Pending,M.L.S.,No,18.13,28.94,Investor Sale,No,Priya Sharma,1691
1692,Cancelled, Close ,Opendoor,,4.17,17.18,Job Transfer,Yes,Luis Garcia,1692
1693,Cancelled,Kick, MLS,Yes,16.8,15.58,Downsizing,No,David Thompson,1693
1694,Cancelled,Null,Auction.com,,2.09,8.34,Investor Sale,,David Thompson,1694
1695,New, Close , MLS,,18.88,6.17,Job Transfer,No,Priya Sharma,1695
1696,New,Cancel,Auction.com,No,15.5,9.61,Job Transfer,Yes,Samantha Pierce,1696
1697,Null,Cancelled,Internal,Yes,6.91,10.27,,,Michael Chen,1697
1698, Closed,Kick,Broker,No,18.65,16.4,Investor Sale,No,Jessica Lin,1698
1699,Reviewed,Pending,Bulk,,8.41,26.66,Investor Sale,Yes,Jason Miller,1699
1700,Closed,Always Kick, MLS,,6.02,6.57,Investor Sale,No,Jessica Lin,1700
1701,Neww,Cancelled,M L S,Yes,14.14,23.07,Investor Sale,No,Jessica Lin,1701
1702, ,Available,M L S,No,18.82,25.59,Job Transfer,,Sophia Williams,1702
1703,Neww,Null, MLS,Yes,18.06,22.16,Investor Sale,No,Samantha Pierce,1703
1704,Closed,Pending, MLS,Yes,2.72,15.17,,No,Jason Miller,1704
1705,New,Kick,Bulk,Yes,18.04,19.09,Investor Sale,,Samantha Pierce,1705
1706,Offered,Always Kick,Internal,,19.09,26.13,,No,David Thompson,1706
1707,Accepted Offer,Always Kick,Internal,Yes,7.5,12.83,,No,Sophia Williams,1707
1708,Cancelled,Available,Opendoor,Yes,17.42,19.46,,Yes,Sophia Williams,1708
1709,New,Cancel,M.L.S.,No,14.14,28.55,Investor Sale,Yes,David Thompson,1709
1710,Reviewed,Pend,M.L.S.,No,12.43,16.82,Investor Sale,No,Luis Garcia,1710
1711, Closed,Cancel,Auction.com,Yes,7.1,13.26,Job Transfer,,Luis Garcia,1711
1712, ,Available,Bulk,,2.1,18.24,Investor Sale,No,Priya Sharma,1712
1713,Accepted Offer,Always Kick,Internal,Yes,16.76,14.29,,,Michael Chen,1713
1714,Cancelled,Pending,Internal,,17.53,13.12,,Yes,Samantha Pierce,1714
1715,New,Always Kick,M L S,,15.07,12.61,Downsizing,No,Emily Patel,1715
1716,Neww,Pend,Bulk,No,6.91,7.18,Investor Sale,,Sophia Williams,1716
1717,Reviewed,Null,Broker,Yes,7.95,21.76,,No,David Thompson,1717
1718,Null,Null,Opendoor,No,10.98,5.03,,No,Sophia Williams,1718
1719,Reviewed,Available, MLS,,9.32,22.49,Downsizing,,Jason Miller,1719
1720, ,Pend,Bulk,No,9.52,12.55,Job Transfer,Yes,Luis Garcia,1720
1721,Offered,Always Kick,Opendoor,Yes,5.27,20.79,Downsizing,Yes,Samantha Pierce,1721
1722,Null,Close,Broker,Yes,10.06,7.65,Investor Sale,,Amit Kumar,1722
1723,Reviewed,Close,Broker,,9.29,7.17,Downsizing,,Sophia Williams,1723
1724, ,Always Kick,Opendoor,Yes,12.79,29.89,Job Transfer,,Luis Garcia,1724
1725,Closed,Pending,M.L.S.,,3.94,15.54,Downsizing,,Michael Chen,1725
1726,Cancelled,Kick,Bulk,Yes,14.15,18.43,Job Transfer,No,Michael Chen,1726
1727,Null,Cancelled,M L S,No,4.62,8.46,Downsizing,No,Michael Chen,1727
1728,Offered, ,Auction.com,No,11.37,9.6,,,Luis Garcia,1728
1729,Neww, ,Opendoor,No,6.85,26.99,,Yes,Sophia Williams,1729
1730, Closed,Closed,Auction.com,Yes,16.91,6.26,Downsizing,No,Jessica Lin,1730
1731, Closed,Pend,Broker,No,12.3,7.64,Job Transfer,No,Jason Miller,1731
1732,Cancelled,Pend,Internal,,13.67,14.35,,No,Amit Kumar,1732
1733,Accepted Offer, ,M L S,,15.62,23.56,Job Transfer,Yes,Sophia Williams,1733
1734,Accepted Offer,Pending, MLS,No,4.21,28.95,Investor Sale,No,Michael Chen,1734
1735,Neww, ,Auction.com,Yes,9.28,24.03,,No,Sophia Williams,1735
1736,Neww,Always Kick,M L S,Yes,7.52,13.27,Investor Sale,No,Emily Patel,1736
1737, Closed, ,Broker,No,18.95,29.05,Job Transfer,No,Jessica Lin,1737
1738,Cancelled,Pend,Opendoor,Yes,16.16,11.18,Downsizing,,Luis Garcia,1738
1739,Offered,Closed,Broker,Yes,7.12,5.21,,Yes,Michael Chen,1739
1740,Cancelled,Pend,M.L.S.,Yes,17.61,15.69,,,Luis Garcia,1740
1741,Closed, Close ,Opendoor,,9.9,27.21,Downsizing,,David Thompson,1741
1742,Reviewed,Always Kick,Auction.com,Yes,18.06,27.66,Job Transfer,,Sophia Williams,1742
1743,Neww,Null,Auction.com,,13.61,14.7,Investor Sale,,David Thompson,1743
1744, ,Pend, MLS,No,10.05,21.27,,No,Jason Miller,1744
1745,Null, Close ,Broker,Yes,15.94,21.3,,Yes,Michael Chen,1745
1746,Accepted Offer,Cancelled,M L S,Yes,4.6,6.58,Investor Sale,Yes,Luis Garcia,1746
1747,Offered,Cancel,Internal,,6.07,18.24,Investor Sale,No,Jessica Lin,1747
1748,Accepted Offer,Close,Opendoor,Yes,11.28,21.78,Investor Sale,Yes,Priya Sharma,1748
1749,New,Closed,M L S,Yes,4.47,15.54,Investor Sale,No,Luis Garcia,1749
1750,New,Always Kick, MLS,,19.94,9.56,,,Michael Chen,1750
1751,Cancelled,Pending,M L S,No,4.54,28.1,Investor Sale,No,Sophia Williams,1751
1752,Reviewed,Pend,M.L.S.,Yes,16.94,6.77,Investor Sale,,Jessica Lin,1752
1753, ,Null,Broker,Yes,5.48,13.15,Investor Sale,Yes,David Thompson,1753
1754,Cancelled,Pending,Auction.com,No,13.13,18.83,Downsizing,,Samantha Pierce,1754
1755,Accepted Offer,Always Kick,Opendoor,,2.31,25.15,,No,Michael Chen,1755
1756,Reviewed,Close,Opendoor,No,2.06,20.3,,No,Michael Chen,1756
1757,Cancelled, Close ,M.L.S.,Yes,4.58,21.39,Job Transfer,,Samantha Pierce,1757
1758,Cancelled,Cancelled,Broker,Yes,15.82,7.06,Job Transfer,Yes,Emily Patel,1758
1759,New,Cancelled, MLS,No,11.85,29.92,Investor Sale,,Jessica Lin,1759
1760,Offered,Closed,Opendoor,Yes,19.6,11.64,Investor Sale,,David Thompson,1760
1761,New,Pend, MLS,No,16.69,26.59,Downsizing,No,David Thompson,1761
1762,New,Pending, MLS,No,12.07,15.09,Job Transfer,No,Priya Sharma,1762
1763, Closed,Cancelled, MLS,No,4.67,10.84,,Yes,Luis Garcia,1763
1764,Accepted Offer,Close, MLS,No,6.22,8.71,Job Transfer,No,David Thompson,1764
1765, ,Null,M L S,Yes,15.58,12.75,Investor Sale,,Priya Sharma,1765
1766,Cancelled,Pend, MLS,No,2.98,17.31,Job Transfer,No,Amit Kumar,1766
1767,Neww, ,M.L.S.,Yes,10.55,15.69,Investor Sale,Yes,Jason Miller,1767
1768,Offered,Null,Opendoor,,6.03,13.83,,Yes,Jason Miller,1768
1769,Accepted Offer, ,Auction.com,Yes,17.02,22.99,Investor Sale,,Priya Sharma,1769
1770, Closed,Available,M L S,No,15.95,28.5,Downsizing,Yes,Luis Garcia,1770
1771,Reviewed,Closed,Internal,No,8.75,29.59,Investor Sale,Yes,Amit Kumar,1771
1772, Closed,Cancel,Auction.com,No,19.35,5.88,,Yes,David Thompson,1772
1773,Null,Closed,Broker,No,19.79,12.24,,Yes,Emily Patel,1773
1774, Closed,Closed,Broker,No,6.84,23.35,,,Jessica Lin,1774
1775,New, Close ,Bulk,No,2.33,25.87,Job Transfer,,Sophia Williams,1775
1776,Cancelled,Pend,Internal,,5.32,7.89,,,Luis Garcia,1776
1777,Reviewed,Closed,M L S,No,8.34,26.74,Downsizing,No,Priya Sharma,1777
1778,Null,Kick,Broker,Yes,4.44,13.33,Investor Sale,Yes,Samantha Pierce,1778
1779, ,Null,Auction.com,No,2.55,7.18,Job Transfer,No,Priya Sharma,1779
1780, Closed,Kick, MLS,Yes,17.85,25.33,Investor Sale,No,Jessica Lin,1780
1781,Cancelled, Close ,Auction.com,,16.16,26.92,Downsizing,Yes,Emily Patel,1781
1782,Reviewed,Pending,Opendoor,No,3.1,10.48,Investor Sale,No,Amit Kumar,1782
1783,Cancelled, Close ,Bulk,,12.68,11.2,,Yes,Jessica Lin,1783
1784,Null,Cancel, MLS,Yes,11.8,11.57,Investor Sale,No,Emily Patel,1784
1785,Reviewed,Cancelled,Internal,No,13.27,20.5,Job Transfer,No,Jessica Lin,1785
1786,Closed, ,Auction.com,,16.57,13.14,Investor Sale,No,Luis Garcia,1786
1787, ,Close,M.L.S.,Yes,2.57,25.78,,Yes,Priya Sharma,1787
1788,New,Cancelled, MLS,No,16.08,16.2,Downsizing,,Emily Patel,1788
1789, Closed,Pend, MLS,Yes,17.66,18.01,,Yes,Priya Sharma,1789
1790,Null, Close ,Bulk,,6.44,17.82,,Yes,David Thompson,1790
1791,New,Pend,Bulk,Yes,3.03,21.64,Investor Sale,No,Sophia Williams,1791
1792,Accepted Offer,Pending,Opendoor,Yes,17.8,13.11,Investor Sale,No,Jason Miller,1792
1793,Offered,Cancelled,M L S,,18.57,28.23,Downsizing,Yes,Luis Garcia,1793
1794, ,Close,Opendoor,Yes,10.9,9.19,Investor Sale,,Luis Garcia,1794
1795,Accepted Offer, ,Auction.com,No,5.7,7.09,Job Transfer,,Priya Sharma,1795
1796,Closed, ,M.L.S.,No,5.51,22.43,Downsizing,,Emily Patel,1796
1797, ,Pending,Opendoor,Yes,11.23,19.53,Investor Sale,,Amit Kumar,1797
1798,Reviewed, ,Internal,Yes,12.32,20.42,Downsizing,Yes,Jason Miller,1798
1799,Reviewed,Closed,Broker,No,19.07,27.45,Job Transfer,No,Amit Kumar,1799
1800, ,Closed,Opendoor,No,19.88,14.82,Investor Sale,Yes,Emily Patel,1800
1801,Null,Pend,Auction.com,,8.86,6.55,Job Transfer,No,Sophia Williams,1801
1802, Closed,Cancel, MLS,,4.86,17.0,Investor Sale,Yes,Jason Miller,1802
1803,Offered,Cancelled,Opendoor,No,11.12,9.35,,,Jason Miller,1803
1804,Null,Closed,Internal,Yes,8.58,12.51,Investor Sale,No,Sophia Williams,1804
1805,Closed,Null,M L S,No,12.85,6.41,Downsizing,No,Luis Garcia,1805
1806,Closed,Kick,M.L.S.,Yes,14.05,6.16,Downsizing,Yes,Emily Patel,1806
1807, Closed,Cancel,M L S,,14.63,16.62,Job Transfer,Yes,Jessica Lin,1807
1808,New,Close, MLS,Yes,12.19,24.44,,,Luis Garcia,1808
1809, Closed,Always Kick,Internal,No,10.87,9.0,Downsizing,No,Jason Miller,1809
1810,Null, Close ,M L S,No,5.39,26.53,Job Transfer,,Sophia Williams,1810
1811,Reviewed,Closed, MLS,Yes,16.79,21.84,Downsizing,No,Jason Miller,1811
1812, Closed,Cancel,Broker,No,15.62,14.38,Downsizing,,Luis Garcia,1812
1813,Null,Always Kick,M.L.S.,Yes,16.81,28.43,Downsizing,Yes,Michael Chen,1813
1814,New,Always Kick,Opendoor,Yes,18.65,26.54,Job Transfer,No,David Thompson,1814
1815,New,Pend,Auction.com,Yes,16.93,14.79,Investor Sale,Yes,Jessica Lin,1815
1816,Cancelled,Available,Auction.com,,19.51,10.79,Job Transfer,No,Amit Kumar,1816
1817,Closed,Cancelled,Broker,,2.52,8.47,Investor Sale,No,Sophia Williams,1817
1818,New,Null,Broker,Yes,18.03,10.44,Downsizing,No,Jessica Lin,1818
1819, ,Null,Auction.com,,19.94,24.96,Downsizing,Yes,Samantha Pierce,1819
1820, Closed,Cancel,Auction.com,No,10.44,28.68,Job Transfer,Yes,Jessica Lin,1820
1821,Offered,Kick,Opendoor,No,4.39,11.09,Downsizing,Yes,Amit Kumar,1821
1822,Closed,Cancelled,Auction.com,,12.36,7.18,Job Transfer,Yes,Amit Kumar,1822
1823,Offered,Close,Broker,,12.14,8.6,Job Transfer,,Luis Garcia,1823
1824,Closed,Cancel,M.L.S.,Yes,4.64,8.88,Downsizing,,David Thompson,1824
1825,New,Cancel,Internal,Yes,19.22,9.75,Downsizing,Yes,Jason Miller,1825
1826,Null,Always Kick,M.L.S.,Yes,18.86,13.59,Investor Sale,,Michael Chen,1826
1827, ,Available,Bulk,No,16.88,26.13,Investor Sale,Yes,Jason Miller,1827
1828,Closed, ,M.L.S.,Yes,18.56,22.93,Investor Sale,No,Priya Sharma,1828
1829,Accepted Offer, Close ,Internal,,2.82,21.58,Downsizing,No,Jessica Lin,1829
1830,Null,Pending, MLS,No,5.4,22.84,Job Transfer,Yes,Samantha Pierce,1830
1831,Closed,Cancel,M.L.S.,Yes,18.73,6.7,Job Transfer,No,Amit Kumar,1831
1832,Offered,Null,Auction.com,,6.15,20.57,Job Transfer,No,Jessica Lin,1832
1833,Offered,Close,Opendoor,,12.49,20.94,Downsizing,Yes,Jessica Lin,1833
1834,Offered,Pending, MLS,Yes,2.13,29.16,,No,Luis Garcia,1834
1835, ,Closed,M L S,Yes,6.9,6.27,,No,David Thompson,1835
1836, ,Cancel,M L S,No,5.26,9.92,Downsizing,No,Luis Garcia,1836
1837,New,Available,Opendoor,No,8.12,10.14,Investor Sale,No,Jason Miller,1837
1838,Null,Cancel, MLS,Yes,8.52,22.17,Job Transfer,No,Jason Miller,1838
1839,Offered,Close,Opendoor,Yes,19.76,9.25,,No,Jason Miller,1839
1840, ,Pending,Broker,,3.95,29.51,Job Transfer,Yes,Priya Sharma,1840
1841,Accepted Offer,Cancel,Opendoor,No,3.89,19.53,Downsizing,,Michael Chen,1841
1842,Neww,Null,Opendoor,Yes,8.29,26.42,Job Transfer,No,Samantha Pierce,1842
1843,Cancelled, Close ,M.L.S.,,7.35,7.94,Downsizing,No,Amit Kumar,1843
1844, Closed,Cancelled,Broker,No,9.0,17.79,Job Transfer,,Priya Sharma,1844
1845,New,Pending,Auction.com,Yes,7.31,15.05,Downsizing,Yes,Michael Chen,1845
1846,New,Always Kick,M L S,No,15.37,8.92,Investor Sale,Yes,Amit Kumar,1846
1847,Accepted Offer,Null,M L S,,5.18,12.93,Investor Sale,Yes,Priya Sharma,1847
1848,Reviewed,Kick,Internal,,16.03,26.11,Investor Sale,,Amit Kumar,1848
1849,Reviewed,Cancel,Auction.com,No,9.69,29.85,,,Samantha Pierce,1849
1850,Closed,Kick,M L S,,18.98,14.71,Downsizing,No,Emily Patel,1850
1851, Closed,Close,Opendoor,,7.54,27.31,,,Jessica Lin,1851
1852,Closed,Closed,Internal,No,15.02,19.9,Investor Sale,Yes,Priya Sharma,1852
1853,Cancelled,Pend, MLS,Yes,19.15,11.21,Investor Sale,Yes,David Thompson,1853
1854,Offered, Close ,Broker,,7.68,5.81,,,Jessica Lin,1854
1855,New,Null,Opendoor,,6.06,21.71,Job Transfer,Yes,Amit Kumar,1855
1856,Reviewed,Null,M.L.S.,,7.71,28.41,Job Transfer,No,Amit Kumar,1856
1857, ,Pend,Opendoor,Yes,4.77,14.39,Downsizing,,Luis Garcia,1857
1858, ,Always Kick,Opendoor,,9.9,13.27,Downsizing,No,Samantha Pierce,1858
1859,Offered,Closed,Auction.com,No,8.62,15.92,Downsizing,Yes,Jason Miller,1859
1860,Neww,Available,Internal,Yes,17.97,15.19,Job Transfer,Yes,David Thompson,1860
1861,Reviewed,Pend,Auction.com,Yes,18.5,22.65,,No,Emily Patel,1861
1862,Offered,Cancelled,Opendoor,,14.06,8.97,Job Transfer,No,Jessica Lin,1862
1863,New,Kick,Auction.com,,10.81,22.3,Job Transfer,Yes,David Thompson,1863
1864,New,Null,Opendoor,,14.33,18.63,Job Transfer,Yes,Priya Sharma,1864
1865,New,Kick,Internal,,5.65,22.87,Job Transfer,,Luis Garcia,1865
1866,New,Always Kick,Auction.com,Yes,17.17,12.74,,,Luis Garcia,1866
1867,Neww,Null,M L S,No,16.48,16.37,Downsizing,,Sophia Williams,1867
1868,Null,Close,Internal,Yes,14.12,6.39,,,David Thompson,1868
1869, Closed, Close , MLS,No,4.36,27.32,Investor Sale,No,Samantha Pierce,1869
1870, Closed,Close,Opendoor,No,19.04,20.62,Job Transfer,Yes,Emily Patel,1870
1871,Null, , MLS,No,6.28,21.51,Job Transfer,Yes,Amit Kumar,1871
1872, ,Available,M L S,,13.6,5.88,Investor Sale,Yes,Jason Miller,1872
1873,Null,Close,Auction.com,No,9.61,19.09,Job Transfer,,Emily Patel,1873
1874,Offered,Kick,M L S,Yes,18.76,8.85,Job Transfer,No,Emily Patel,1874
1875,Reviewed,Null,Internal,Yes,3.17,19.47,Downsizing,,Emily Patel,1875
1876,Neww,Close,Bulk,No,13.12,10.56,Job Transfer,Yes,Priya Sharma,1876
1877,Null, ,Bulk,,16.13,12.05,Investor Sale,Yes,Samantha Pierce,1877
1878,Offered,Always Kick,Auction.com,,5.78,29.89,Job Transfer,Yes,Jessica Lin,1878
1879,Closed,Closed,M.L.S.,No,16.07,14.76,Downsizing,No,Sophia Williams,1879
1880,Neww, Close ,Auction.com,No,11.28,23.1,Job Transfer,Yes,Emily Patel,1880
1881,Cancelled, ,Bulk,Yes,9.29,22.84,Downsizing,No,Priya Sharma,1881
1882,Null, Close ,Opendoor,,19.37,29.69,Job Transfer,No,Jessica Lin,1882
1883,Accepted Offer,Kick,Internal,No,14.45,6.94,Downsizing,Yes,Luis Garcia,1883
1884,Neww,Always Kick,M L S,Yes,9.42,24.18,Investor Sale,,Luis Garcia,1884
1885,Accepted Offer,Closed,Internal,No,7.12,23.06,Investor Sale,Yes,Sophia Williams,1885
1886,Cancelled,Cancel,Internal,,16.6,29.62,,No,Emily Patel,1886
1887,Neww,Always Kick,M L S,,2.6,22.0,,,Jessica Lin,1887
1888,Closed, Close , MLS,,7.73,29.9,Investor Sale,,Sophia Williams,1888
1889, Closed, ,Bulk,,19.99,16.33,,,Sophia Williams,1889
1890,Closed,Null,Broker,,3.39,5.93,,Yes,Luis Garcia,1890
1891,Neww,Kick,M L S,,14.66,27.86,Investor Sale,No,Jessica Lin,1891
1892,Closed, Close , MLS,Yes,4.28,26.83,Downsizing,,Emily Patel,1892
1893,Offered,Close,Auction.com,No,16.33,22.38,Investor Sale,No,Emily Patel,1893
1894, Closed,Closed,Internal,Yes,4.68,13.48,,,Priya Sharma,1894
1895, ,Kick,Bulk,No,12.09,6.41,Downsizing,,Michael Chen,1895
1896,Closed,Pending,M.L.S.,No,17.88,12.92,Job Transfer,,Samantha Pierce,1896
1897, Closed,Pend, MLS,Yes,4.04,13.23,Job Transfer,,Luis Garcia,1897
1898,Offered,Always Kick,M L S,Yes,7.5,7.24,Investor Sale,No,Michael Chen,1898
1899,Accepted Offer,Close,Broker,No,10.59,5.63,,,Amit Kumar,1899
1900,Offered,Available,Bulk,No,14.15,5.51,Investor Sale,Yes,Sophia Williams,1900
1901,Neww,Pend,Auction.com,No,11.45,6.14,Job Transfer,,Samantha Pierce,1901
1902,Neww,Null,Broker,Yes,10.36,7.62,,Yes,Sophia Williams,1902
1903,Null,Null,Bulk,No,3.71,25.0,,,Jason Miller,1903
1904,Neww,Cancelled,M.L.S.,No,16.14,7.98,Downsizing,Yes,Amit Kumar,1904
1905, ,Closed,M L S,,3.34,21.01,Investor Sale,,David Thompson,1905
1906,New,Cancel,M L S,No,10.29,15.85,Job Transfer,,Luis Garcia,1906
1907,Reviewed,Pending,Auction.com,Yes,18.04,27.7,Downsizing,No,Priya Sharma,1907
1908,Accepted Offer,Cancelled,Opendoor,Yes,2.55,5.04,,,Samantha Pierce,1908
1909, Closed, ,M.L.S.,No,8.66,6.46,Job Transfer,,Jason Miller,1909
1910,Null, Close , MLS,No,8.1,13.84,Investor Sale,Yes,Luis Garcia,1910
1911,Offered,Pend,Opendoor,Yes,2.75,13.09,Job Transfer,,Luis Garcia,1911
1912,Accepted Offer,Close,M L S,,16.29,26.22,Investor Sale,Yes,Emily Patel,1912
1913,Cancelled,Pend, MLS,Yes,15.85,29.4,Job Transfer,,Emily Patel,1913
1914,Closed,Always Kick,Auction.com,,8.1,9.51,Investor Sale,No,Jessica Lin,1914
1915,Closed, ,M.L.S.,,3.02,10.37,Job Transfer,No,Jessica Lin,1915
1916,Closed,Null, MLS,Yes,9.96,11.37,Job Transfer,,Samantha Pierce,1916
1917,Neww,Kick,Opendoor,No,15.22,12.06,,Yes,Amit Kumar,1917
1918,Cancelled,Null, MLS,,12.48,29.44,Investor Sale,No,Emily Patel,1918
1919,Neww, , MLS,,7.8,10.58,Downsizing,Yes,David Thompson,1919
1920, ,Closed,Auction.com,,3.18,18.16,,No,Samantha Pierce,1920
1921, Closed,Null,Bulk,No,15.07,24.22,Downsizing,Yes,Emily Patel,1921
1922, ,Cancelled,M L S,,15.97,8.49,,No,Samantha Pierce,1922
1923, ,Pending,Internal,No,13.96,10.72,Job Transfer,No,Luis Garcia,1923
1924, Closed,Null,Broker,Yes,17.94,21.7,Downsizing,No,Luis Garcia,1924
1925,Neww, ,Auction.com,Yes,8.08,12.78,,,Jessica Lin,1925
1926,New,Cancelled,Auction.com,Yes,4.5,12.35,Investor Sale,No,Sophia Williams,1926
1927,Offered,Null,Auction.com,Yes,4.98,11.86,Job Transfer,,Priya Sharma,1927
1928,Reviewed,Pend,Opendoor,,13.61,28.99,,Yes,Michael Chen,1928
1929, Closed,Pending,M.L.S.,No,19.71,6.32,Job Transfer,Yes,David Thompson,1929
1930,Null,Pend,Opendoor,,10.04,26.03,,Yes,Jason Miller,1930
1931,New,Cancelled,Opendoor,Yes,4.58,27.0,,Yes,Jessica Lin,1931
1932, Closed,Close,Auction.com,,3.08,19.27,Investor Sale,No,David Thompson,1932
1933,Offered, Close , MLS,No,10.52,16.27,Downsizing,,Emily Patel,1933
1934,Offered,Cancel,M L S,No,16.2,11.94,Investor Sale,,Sophia Williams,1934
1935,New,Always Kick,M L S,Yes,13.61,22.7,Downsizing,No,David Thompson,1935
1936,Offered, ,M L S,,2.31,17.02,Job Transfer,,Emily Patel,1936
1937,Cancelled,Kick,Auction.com,Yes,2.33,9.9,Job Transfer,No,Michael Chen,1937
1938, Closed,Close,M.L.S.,,7.46,23.12,Investor Sale,Yes,Amit Kumar,1938
1939,Null, ,Broker,No,16.55,21.32,Job Transfer,,Samantha Pierce,1939
1940,Cancelled,Pend,M.L.S.,No,6.43,26.54,Investor Sale,Yes,Michael Chen,1940
1941,Offered,Kick,M.L.S.,No,13.2,25.84,Investor Sale,Yes,David Thompson,1941
1942,New,Cancelled,M L S,Yes,3.23,19.97,Job Transfer,No,Samantha Pierce,1942
1943, Closed,Null,M L S,Yes,9.1,11.44,Downsizing,Yes,Jessica Lin,1943
1944,Accepted Offer,Null,Broker,,5.16,16.05,Investor Sale,Yes,Sophia Williams,1944
1945,Offered,Close,M.L.S.,Yes,17.16,16.78,Job Transfer,No,Sophia Williams,1945
1946, Closed,Pending,Broker,Yes,3.64,29.17,,,Emily Patel,1946
1947,Reviewed,Closed,Opendoor,,8.34,21.97,Investor Sale,No,David Thompson,1947
1948,New,Always Kick,M L S,No,5.51,6.44,Job Transfer,No,Samantha Pierce,1948
1949,Accepted Offer,Null,Auction.com,No,2.1,17.63,Downsizing,Yes,Jason Miller,1949
1950,New,Pending,Broker,,7.81,8.54,Downsizing,No,David Thompson,1950
1951,Closed, Close ,M.L.S.,,15.85,15.99,,No,Luis Garcia,1951
1952, ,Kick,Auction.com,No,6.38,24.38,Downsizing,Yes,Amit Kumar,1952
1953, Closed,Cancelled,M.L.S.,,4.18,9.77,Investor Sale,No,Jason Miller,1953
1954,Reviewed,Null,Opendoor,,10.62,18.21,Job Transfer,Yes,Michael Chen,1954
1955,Neww,Pend,Internal,Yes,13.28,29.32,,Yes,Samantha Pierce,1955
1956,Accepted Offer,Null,M.L.S.,,6.32,17.68,Investor Sale,Yes,Priya Sharma,1956
1957, ,Pend,Auction.com,No,7.64,6.47,Downsizing,,Luis Garcia,1957
1958,Closed,Kick,Auction.com,No,17.26,9.91,Downsizing,,Luis Garcia,1958
1959,Reviewed,Cancel, MLS,,6.48,18.74,,Yes,Samantha Pierce,1959
1960,Cancelled,Null,M.L.S.,No,4.42,5.62,Downsizing,No,Michael Chen,1960
1961,Closed,Pending,Opendoor,No,10.38,23.3,,No,Amit Kumar,1961
1962,Reviewed, ,M L S,,15.71,5.29,Downsizing,,Jessica Lin,1962
1963,Offered,Pend,Bulk,,12.76,11.67,,,Jessica Lin,1963
1964,New,Kick,Opendoor,,16.03,18.87,Downsizing,No,Luis Garcia,1964
1965, Closed,Closed,Auction.com,No,4.65,8.58,,Yes,David Thompson,1965
1966,Accepted Offer,Closed, MLS,Yes,12.41,19.02,Downsizing,,Amit Kumar,1966
1967,Accepted Offer,Available, MLS,,11.01,12.51,Job Transfer,Yes,Jason Miller,1967
1968, Closed,Null,Bulk,No,9.47,9.14,Downsizing,No,David Thompson,1968
1969,Neww,Closed,M.L.S.,No,6.48,6.76,Downsizing,,Michael Chen,1969
1970,Accepted Offer, ,M L S,,12.62,22.94,,,Jessica Lin,1970
1971,Null,Cancel,Bulk,Yes,2.27,21.44,Investor Sale,No,Amit Kumar,1971
1972, ,Pend,Bulk,Yes,19.07,16.38,Downsizing,No,Emily Patel,1972
1973,Cancelled,Always Kick,Auction.com,No,18.15,27.41,Job Transfer,Yes,Luis Garcia,1973
1974,Accepted Offer,Cancel,M L S,Yes,4.53,7.04,,,Michael Chen,1974
1975,Offered, Close ,Internal,No,10.76,5.41,Job Transfer,No,Luis Garcia,1975
1976,Cancelled,Kick, MLS,Yes,16.31,29.87,,No,Sophia Williams,1976
1977,Offered,Pending,Bulk,,13.38,7.71,Downsizing,,Emily Patel,1977
1978, Closed,Cancelled,Auction.com,,16.63,17.69,,No,Luis Garcia,1978
1979,Neww,Pend,Auction.com,No,18.58,27.12,,Yes,Luis Garcia,1979
1980,Closed,Pending,M L S,Yes,18.84,24.31,Job Transfer,No,Michael Chen,1980
1981,Null,Close,Internal,,13.64,22.75,Job Transfer,No,Michael Chen,1981
1982,Null,Closed,M.L.S.,,8.84,16.93,Downsizing,,Jason Miller,1982
1983,New, Close ,Broker,,18.69,13.19,Downsizing,Yes,Samantha Pierce,1983
