Property_Title,Address,Reviewed_Status,Most_Recent_Status,Source,Market,Occupancy,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Net_Yield,IRR,Rent_Restricted,Neighborhood_Rating,Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,HOA,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag,Latitude,Longitude,Subdivision,Taxes,Redfin_Value,Selling_Reason,Seller_Retained_Broker,HOA_Flag,Final_Reviewer,School_Average
"7484 Savage Flat Apt. 492 Lake Ashleymouth, ND 35519","7484 Savage Flat Apt. 492 Lake Ashleymouth, ND 35519",New,Pend,M L S,Dalas,No,,7484 Savage Flat Apt. 492,Lake Ashleymouth,ND,35519,SFR,Near,Near,1.98,1440,No,No,No,Well,Septic,1958,1780,2888,Garage,5,4,,Colonial,3.67,18.49,No,3,1839,493440,177505,459133,3034,1633,1689,3184,26,64621,20188,No,No,,Yes,No,,No,No,Yes,,Yes,35.452777,-85.131934,Valley,7516,380879,,No,,Jessica Lin,8.79
"98991 Jackson Cliffs Suite 616 Amandaburgh, GA 75302","98991 Jackson Cliffs Suite 616 Amandaburgh, GA 75302",Closed,Pend,MLS,Chicago,No,Minimal Flood,98991 Jackson Cliffs Suite 616,Amandaburgh,GA,75302,SFR,Far,Far,3.35,1476,Yes,,,,Septic,1976,816,4953,Garage,5,2,No,Split,11.94,8.58,,2,1200,467389,344121,413180,1592,3229,1446,1690,63,54813,2002,Yes,,,,,Yes,,,,No,,38.738598,-106.284629,Loaf,8811,329278,Investor Sale,Yes,,Luis Garcia,5.07
"852 Nicole Lake East Justin, KS 99310","852 Nicole Lake East Justin, KS 99310",Offered,Closed,M L S, ,Yes,Flood Zone,852 Nicole Lake,East Justin,KS,99310,Condo,,,3.23,590,Yes,Yes,,,Septic,1967,1352,5278,Street,4,1,No,Split,11.56,5.55,No,5,884,420623,292439,263167,2052,2796,1381,1435,388,66459,97841,,,No,No,,No,,,,Yes,No,36.795549,-114.448059,Lakes,7718,461137,Investor Sale,,Yes,Luis Garcia,7.45
"46417 Henderson Lakes Suite 945 Shafferland, OH 07936","46417 Henderson Lakes Suite 945 Shafferland, OH 07936", ,Null,Bulk,Dallas,Yes,Flood Zone,46417 Henderson Lakes Suite 945,Shafferland,OH,07936,Single Family Home,Far,Near,1.88,1529,,Yes,Yes,Well,City,2022,2819,2037,Driveway,1,4,Yes,Ranch,6.07,17.76,,5,1811,383990,108157,382435,1413,3745,1395,1251,306,25080,33888,Yes,,Yes,Yes,,,Yes,,,Yes,No,34.925709,-99.173521,Corners,5915,104696,,Yes,,David Thompson,3.08
"342 Derek Port Apt. 892 Bennettside, MS 23870","342 Derek Port Apt. 892 Bennettside, MS 23870",Cancelled,Pending,Bulk,Chicago,Yes,Flood Zone,342 Derek Port Apt. 892,Bennettside,MS,23870,Condo,,,1.5,68,,Yes,No,Well,Septic,2015,3430,8833,Garage,5,3,No,,3.13,17.19,Yes,5,2496,403326,387253,167051,2903,1131,1632,3400,142,37597,26206,No,Yes,,Yes,No,Yes,No,,Yes,Yes,Yes,35.875752,-89.16611,Roads,6488,425105,,Yes,,Luis Garcia,3.58
"98898 Dana Curve South Matthew, ND 53364","98898 Dana Curve South Matthew, ND 53364",Cancelled,Closed,Opendoor,Florida,Yes,,98898 Dana Curve,South Matthew,ND,53364,Single Family Home,Near,Near,2.1,1298,,,,Well,Septic,2017,3100,4995,Garage,4,1,,Ranch,10.63,17.99,No,2,1982,340558,230546,585895,1959,1628,916,3005,144,57577,65092,,,Yes,,Yes,Yes,,Yes,No,,,38.281861,-91.677014,Rest,4956,362405,Investor Sale,Yes,Yes,Samantha Pierce,8.16
"21636 Katherine Squares Ryanburgh, MS 02168","21636 Katherine Squares Ryanburgh, MS 02168",Cancelled,Close,M L S,Chicgo,No,Minimal Flood,21636 Katherine Squares,Ryanburgh,MS,02168,SFR,Near,Far,2.23,1396,Yes,,,,Septic,1973,3393,8523,Street,2,3,Yes,,4.1,12.62,,3,1119,467289,461391,295743,3394,1066,859,3118,89,15867,66141,,,No,,Yes,No,No,No,,No,Yes,35.730173,-109.555657,Corner,3337,187977,Job Transfer,No,,Amit Kumar,9.48
"60566 Williams Trafficway Apt. 488 Kimberlyburgh, PA 65929","60566 Williams Trafficway Apt. 488 Kimberlyburgh, PA 65929",Reviewed,Available,Broker,Chicago,,Minimal Flood,60566 Williams Trafficway Apt. 488,Kimberlyburgh,PA,65929,Townhouse,Far,Far,1.11,1309,Yes,Yes,No,Well,City,2000,506,2482,Garage,6,4,Yes,,11.22,13.1,No,4,2044,392010,135172,594672,1241,2974,1378,2442,213,60767,62925,Yes,No,,No,Yes,,,No,,,No,34.025317,-92.60734,Court,4132,571053,Investor Sale,No,,Samantha Pierce,7.55
"382 Barrett Meadows Stephanieville, HI 92257","382 Barrett Meadows Stephanieville, HI 92257",Null,Pending,Auction.com, ,,,382 Barrett Meadows,Stephanieville,HI,92257,Townhouse,Far,,1.25,1111,Yes,Yes,,City,Septic,1954,538,3462,Street,2,4,Yes,Split,4.97,7.83,No,5,2037,219157,352780,320281,1005,3671,1370,3022,488,62665,22752,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,,36.665786,-100.090845,Pike,6659,518450,Job Transfer,No,No,Amit Kumar,8.14
"141 Daniel Cove Suite 009 East Zachary, AS 39785","141 Daniel Cove Suite 009 East Zachary, AS 39785",Accepted Offer,Closed,Internal,Florida,,,141 Daniel Cove Suite 009,East Zachary,AS,39785,Single Family Home,,,2.37,1432,,Yes,Yes,,City,1989,1355,3257,Driveway,5,4,Yes,Split,3.72,10.43,,2,2758,90379,494622,265298,1773,2675,1182,3172,322,48314,90747,No,,Yes,No,,Yes,No,,No,Yes,No,40.649919,-93.863049,Field,8453,394765,,,,Michael Chen,4.68
"2028 Rojas Street Samanthachester, OK 31400","2028 Rojas Street Samanthachester, OK 31400",Null,Cancelled,MLS,Tampa,,Flood Zone,2028 Rojas Street,Samanthachester,OK,31400,SFR,Far,Far,3.01,701,No,No,Yes,Well,Septic,1961,1225,1862,,5,2,Yes,,10.55,12.36,,5,2503,366498,526941,515210,903,1222,1708,1793,302,69151,93465,No,No,,,No,No,No,Yes,No,No,No,39.865781,-107.602298,Ports,6902,96075,,,No,Michael Chen,3.46
"26884 Ball Ramp Suite 668 East Geraldborough, OR 48788","26884 Ball Ramp Suite 668 East Geraldborough, OR 48788", , ,Auction.com,Dalas,Yes,Flood Zone,26884 Ball Ramp Suite 668,East Geraldborough,OR,48788,Condo,,Near,1.6,1996,No,,No,City,,1993,3388,5373,Street,3,1,No,Split,4.45,10.33,Yes,1,2613,218497,522994,592637,3114,2970,797,2211,131,69165,5337,Yes,Yes,Yes,,Yes,No,No,No,Yes,No,No,38.802857,-81.303276,Station,6855,461223,Downsizing,No,No,Sophia Williams,6.6
"77780 Andrews Mountain Suite 954 North Mark, PR 20115","77780 Andrews Mountain Suite 954 North Mark, PR 20115",Reviewed,Pending,Auction.com,Tampa,,,77780 Andrews Mountain Suite 954,North Mark,PR,20115,SFR,,Far,1.01,359,,,No,City,Septic,1996,3298,3452,Driveway,3,2,,Ranch,5.11,14.12,Yes,5,1544,165997,536386,251678,2596,2007,1177,2551,3,91131,68355,No,,Yes,No,,,Yes,,Yes,Yes,Yes,34.603111,-77.009082,Causeway,7003,431473,Downsizing,No,,Michael Chen,8.08
"92221 Hayes Burgs Suite 975 New Katie, NJ 70691","92221 Hayes Burgs Suite 975 New Katie, NJ 70691", ,Kick,M L S,Chicago,,Minimal Flood,92221 Hayes Burgs Suite 975,New Katie,NJ,70691,SFR,Far,Near,1.44,1246,Yes,No,No,,,1952,795,3402,,1,3,,Ranch,5.67,11.77,,1,1821,139735,119681,356006,2544,940,1907,1638,350,15465,53471,No,Yes,,No,Yes,No,,Yes,,,,36.504437,-80.595275,Parkway,8366,96590,Downsizing,Yes,No,Emily Patel,8.73
"74632 Castillo Heights Apt. 449 New Maryfurt, OR 61702","74632 Castillo Heights Apt. 449 New Maryfurt, OR 61702",Reviewed,Kick,Internal,Tampa,,Minimal Flood,74632 Castillo Heights Apt. 449,New Maryfurt,OR,61702,SFR,Near,,1.89,1453,,No,No,Well,Septic,1987,1640,3158,,1,1,Yes,,7.25,12.58,Yes,4,1070,383436,144713,120780,922,3149,942,1693,186,60650,93170,Yes,Yes,No,,,Yes,No,Yes,No,,No,37.184308,-75.619964,Mission,8305,468234,Downsizing,Yes,No,Luis Garcia,9.44
"354 Shirley Circle Flynnstad, NJ 96710","354 Shirley Circle Flynnstad, NJ 96710",Accepted Offer,Cancelled,Auction.com,Dallas,No,,354 Shirley Circle,Flynnstad,NJ,96710,Condo,Far,Near,1.51,177,,No,,City,Septic,1984,3175,8607,Street,4,4,No,Ranch,7.71,19.33,No,1,2917,418259,378579,582365,3106,2255,1449,1134,397,14844,27349,Yes,No,Yes,No,Yes,,,No,No,Yes,No,41.18721,-91.221851,Village,7450,140078,,,No,Jessica Lin,3.12
"3455 Kyle Point Suite 746 Morganville, WV 99257","3455 Kyle Point Suite 746 Morganville, WV 99257", ,Kick,Internal,Atlanta,,Flood Zone,3455 Kyle Point Suite 746,Morganville,WV,99257,SFR,Far,,1.07,1084,Yes,,Yes,City,Septic,1984,3420,4673,Garage,6,4,No,,5.62,11.53,Yes,4,2128,142285,403259,544617,1092,3589,1081,2298,287,64913,63203,Yes,No,Yes,,No,No,No,Yes,No,,No,35.980516,-79.334326,Freeway,8123,473940,Investor Sale,,Yes,Sophia Williams,8.18
"309 Hensley Dam Suite 995 West Ariana, WY 51982","309 Hensley Dam Suite 995 West Ariana, WY 51982",Cancelled,Close,Bulk,Dallas,,,309 Hensley Dam Suite 995,West Ariana,WY,51982,SFR,,Near,3.02,76,,No,Yes,City,Septic,2020,1276,7881,Street,4,3,No,Colonial,9.96,18.03,No,4,2504,288611,426584,243306,1482,3192,1188,1277,370,92718,40529,,Yes,No,Yes,Yes,Yes,No,,,No,,33.646678,-81.032868,Drives,1685,283584,Downsizing,Yes,No,Sophia Williams,4.68
"11215 Price Rest Suite 321 Jackieview, MO 17493","11215 Price Rest Suite 321 Jackieview, MO 17493",Cancelled,Pend,Bulk,Atlanta,No,,11215 Price Rest Suite 321,Jackieview,MO,17493,Single Family Home,Near,Far,3.0,728,Yes,Yes,Yes,Well,City,2011,2540,9755,Driveway,2,4,Yes,Ranch,5.74,17.71,,4,3100,389833,188838,385083,2536,1097,1596,1318,17,93757,10677,,Yes,No,,Yes,No,Yes,Yes,Yes,,No,41.838468,-98.341427,Estate,4150,550779,Downsizing,Yes,Yes,Luis Garcia,3.86
"71541 Michelle Extension Apt. 273 New Tiffany, MA 25211","71541 Michelle Extension Apt. 273 New Tiffany, MA 25211",Accepted Offer,Available,MLS,Chicago,No,Flood Zone,71541 Michelle Extension Apt. 273,New Tiffany,MA,25211,Duplex,Near,Near,1.99,1426,No,,Yes,City,City,1973,1687,5030,,5,3,Yes,Ranch,6.94,10.26,No,3,1357,333502,530521,507829,1506,1910,1147,2371,355,36673,96909,Yes,No,,Yes,No,,No,No,No,,No,37.026468,-117.702304,Expressway,1598,142056,Investor Sale,Yes,,Priya Sharma,6.14
"6906 Cohen Oval Apt. 633 Scottberg, AL 27125","6906 Cohen Oval Apt. 633 Scottberg, AL 27125",Offered, ,M L S,Chicgo,,Flood Zone,6906 Cohen Oval Apt. 633,Scottberg,AL,27125,Condo,Near,Near,1.3,1088,No,,Yes,,Septic,1968,1461,6322,Garage,4,3,Yes,Split,9.69,16.57,No,4,1283,195132,539390,400816,1656,1973,702,1982,222,11240,11694,,Yes,No,Yes,No,No,No,,,Yes,Yes,34.140492,-89.019571,Trace,5463,172031,Downsizing,No,Yes,Jason Miller,8.54
"827 Francisco Course New Sheri, OR 07319","827 Francisco Course New Sheri, OR 07319",Null,Cancelled,Auction.com,Florida,Yes,Flood Zone,827 Francisco Course,New Sheri,OR,07319,Duplex,,Near,1.44,1100,,Yes,Yes,City,Septic,1962,2367,7794,,5,2,,Colonial,5.06,18.97,Yes,5,2447,422934,395569,519367,2756,1386,1291,1811,381,7966,62897,Yes,Yes,Yes,No,,Yes,,No,,Yes,No,35.318229,-95.174616,Parks,5376,456745,,No,,Michael Chen,4.71
"146 Foster Harbor North Haley, GU 04151","146 Foster Harbor North Haley, GU 04151",New,Always Kick,MLS,Chicgo,No,,146 Foster Harbor,North Haley,GU,04151,SFR,,,1.84,1976,,No,,,Septic,2022,727,4169,,2,1,Yes,Colonial,9.74,16.6,Yes,3,3231,391558,547812,127206,2044,1593,1729,1630,390,38550,24592,No,,Yes,Yes,No,No,Yes,Yes,,No,Yes,37.105289,-78.375016,Camp,7829,233955,Downsizing,,Yes,Michael Chen,8.45
"59230 Kent Mall North Leahhaven, SD 98213","59230 Kent Mall North Leahhaven, SD 98213",Closed,Null,MLS,Atlanta,No,,59230 Kent Mall,North Leahhaven,SD,98213,Condo,Far,Near,1.19,838,,Yes,Yes,Well,,2022,1507,5244,Street,3,4,,Split,10.49,9.26,Yes,1,1460,480514,540210,207636,1151,3403,1479,2183,304,91302,53895,Yes,Yes,,No,,No,No,Yes,No,,Yes,38.835098,-76.611269,Ridge,6123,561848,Investor Sale,,Yes,David Thompson,9.25
"13363 Kelly Alley Apt. 274 Lake Jeffrey, AL 53269","13363 Kelly Alley Apt. 274 Lake Jeffrey, AL 53269",Cancelled,Available,Internal,Dallas,Yes,,13363 Kelly Alley Apt. 274,Lake Jeffrey,AL,53269,Duplex,Far,,1.83,1876,No,No,No,City,,1989,1208,9347,Garage,2,4,,,10.91,11.21,,2,1865,197375,263961,489867,3083,2806,1136,1496,368,18241,13040,,No,,,No,No,Yes,No,No,Yes,Yes,38.180491,-73.012795,Alley,3677,326252,Investor Sale,Yes,,Jessica Lin,3.81
"3423 Rodriguez Pike East Emmastad, IL 05504","3423 Rodriguez Pike East Emmastad, IL 05504", , ,Internal,Chicago,No,Minimal Flood,3423 Rodriguez Pike,East Emmastad,IL,05504,Townhouse,Far,Near,2.73,1284,Yes,No,,City,,1966,2745,6813,Driveway,4,4,,Split,7.93,10.39,,4,2297,226444,407076,433131,1735,3903,1688,1464,321,24310,95051,Yes,No,No,Yes,No,,No,,,,,35.133938,-90.913561,Underpass,5392,176027,Downsizing,,Yes,Michael Chen,5.65
"589 Allen Mountain Danielsberg, CA 30692","589 Allen Mountain Danielsberg, CA 30692", , ,M L S,Chicgo,Yes,,589 Allen Mountain,Danielsberg,CA,30692,Townhouse,Far,Far,2.69,380,No,Yes,,City,City,1984,3399,3241,Street,4,3,,,6.81,18.62,Yes,1,2518,451561,453333,334589,2668,1678,1952,2610,147,49881,56760,Yes,No,Yes,No,No,No,,Yes,,No,No,36.794926,-98.911381,Rapid,9764,593050,Downsizing,No,Yes,Emily Patel,5.5
"5980 John Harbor Apt. 031 West Taylor, PW 17870","5980 John Harbor Apt. 031 West Taylor, PW 17870",Accepted Offer,Null,Broker,Chicgo,Yes,,5980 John Harbor Apt. 031,West Taylor,PW,17870,Single Family Home,Near,Near,2.53,547,No,,Yes,,City,1995,3107,1434,Street,1,2,No,,6.76,19.22,Yes,1,3362,160765,333054,547854,2915,976,1054,1627,477,78494,65707,Yes,Yes,,No,Yes,No,Yes,No,,No,,34.174744,-83.326996,Light,6928,485842,Investor Sale,,Yes,Sophia Williams,8.57
"784 Riggs Flats Apt. 004 New Michaelmouth, AR 76818","784 Riggs Flats Apt. 004 New Michaelmouth, AR 76818", , ,Auction.com,Dallas,Yes,Minimal Flood,784 Riggs Flats Apt. 004,New Michaelmouth,AR,76818,Condo,Far,Near,1.81,829,,No,Yes,City,City,1982,1494,7497,,4,2,No,,10.55,17.93,,4,1318,156872,421063,411130,2780,1830,965,1284,477,121,46053,,Yes,Yes,No,Yes,,Yes,,Yes,No,Yes,41.218382,-112.986239,Vista,8069,221028,Job Transfer,,No,Luis Garcia,7.75
"38466 Ashley Valleys New Danielland, NY 54931","38466 Ashley Valleys New Danielland, NY 54931",Cancelled,Available,Broker,Chicago,,Flood Zone,38466 Ashley Valleys,New Danielland,NY,54931,Duplex,,,1.54,1393,Yes,Yes,,City,City,1979,1966,8804,Garage,2,1,Yes,Colonial,11.17,17.63,,4,2511,171381,439539,466446,1831,3516,928,3098,173,71896,86413,Yes,,No,Yes,Yes,No,Yes,Yes,No,,Yes,39.789101,-97.852567,Flat,3138,314962,Investor Sale,No,Yes,Jason Miller,4.23
"27612 William Crossroad North Monica, MH 74870","27612 William Crossroad North Monica, MH 74870", ,Kick,Broker,Atlanta,No,,27612 William Crossroad,North Monica,MH,74870,Duplex,,Near,1.97,1215,Yes,,,,Septic,1967,2712,4174,,2,2,,Colonial,7.64,14.87,,3,867,110502,255743,182101,1958,1031,1706,2600,355,59624,38853,Yes,,Yes,Yes,,No,No,,,Yes,Yes,34.170424,-79.904959,Forks,8890,495079,Investor Sale,,,Jason Miller,9.7
"1775 Molina Throughway Seanland, AK 17682","1775 Molina Throughway Seanland, AK 17682",Cancelled,Cancelled,M L S,Dalas,No,,1775 Molina Throughway,Seanland,AK,17682,Duplex,Near,Far,1.66,435,No,,No,,Septic,2011,1233,7851,,2,3,,Split,9.02,18.82,,5,2173,421436,328110,415322,2594,1178,771,2819,259,64371,94321,,,Yes,No,,Yes,Yes,,Yes,No,,35.833717,-94.249765,Centers,6720,590249,Downsizing,,,Samantha Pierce,4.41
"217 Pugh Dale Suite 719 Andrewbury, VT 84384","217 Pugh Dale Suite 719 Andrewbury, VT 84384",Closed,Kick,Bulk,Dallas,,Minimal Flood,217 Pugh Dale Suite 719,Andrewbury,VT,84384,Duplex,Far,,2.88,723,,Yes,Yes,Well,City,1980,1062,5889,,5,4,Yes,,8.24,18.87,,1,1325,260589,192821,233539,3113,2925,1951,3432,326,57920,70452,No,,Yes,,Yes,Yes,Yes,No,Yes,,,41.089258,-101.679844,Extension,7075,214299,Downsizing,,,Priya Sharma,3.13
"105 Jeffrey Station Suite 731 Port Markborough, VT 76275","105 Jeffrey Station Suite 731 Port Markborough, VT 76275",Closed,Always Kick,M L S,Dallas,,Minimal Flood,105 Jeffrey Station Suite 731,Port Markborough,VT,76275,Townhouse,Near,Near,2.39,1203,Yes,,No,City,City,1965,2757,5793,Street,3,1,No,Ranch,7.16,19.24,No,2,1922,96667,183625,449234,2352,1931,891,2739,30,32132,33919,Yes,No,Yes,,,No,No,,,No,,35.207178,-104.402155,Plaza,7679,207136,Investor Sale,No,,David Thompson,8.15
"4445 Sparks Pine Hollyburgh, ME 37613","4445 Sparks Pine Hollyburgh, ME 37613",Cancelled,Null,Bulk, ,,Minimal Flood,4445 Sparks Pine,Hollyburgh,ME,37613,Townhouse,,Far,1.17,830,No,No,,,,1972,3165,5231,Driveway,1,4,Yes,Split,3.66,6.12,Yes,3,3098,410814,235421,198899,1954,2708,960,2466,424,88684,50917,Yes,Yes,,No,,No,,,Yes,,No,41.892062,-116.724982,Plains,2514,186002,,,Yes,Jessica Lin,8.88
"3467 Thomas Lodge Apt. 465 West Christopher, NJ 60373","3467 Thomas Lodge Apt. 465 West Christopher, NJ 60373", ,Close,Bulk,Chicgo,Yes,Minimal Flood,3467 Thomas Lodge Apt. 465,West Christopher,NJ,60373,Condo,Near,Far,3.1,1136,,No,No,,,1998,837,5194,Street,1,2,,,11.14,17.59,Yes,3,3467,287359,374882,503927,3209,1125,1550,2183,290,69070,84298,,,Yes,No,No,Yes,No,Yes,,,Yes,38.304924,-91.641555,Estates,4375,368281,Investor Sale,No,No,Sophia Williams,3.78
"9508 Donald Pass West Samuel, MH 15486","9508 Donald Pass West Samuel, MH 15486",Accepted Offer,Always Kick,MLS,Chicgo,,,9508 Donald Pass,West Samuel,MH,15486,Duplex,,,2.95,340,,,Yes,City,,1986,3444,5590,Driveway,6,2,Yes,Split,11.27,6.74,Yes,3,1049,494996,417144,242684,1336,3855,1028,2522,291,41525,92980,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,Yes,34.842613,-114.20381,Center,8206,389640,,,No,Emily Patel,3.29
"55881 Anne Knolls Suite 328 West Kerri, NC 73545","55881 Anne Knolls Suite 328 West Kerri, NC 73545",Offered,Always Kick,Bulk,Atlanta,No,Flood Zone,55881 Anne Knolls Suite 328,West Kerri,NC,73545,Condo,Near,Near,1.46,1388,Yes,No,,,,1970,3448,9880,Driveway,2,3,Yes,,10.19,10.54,Yes,1,2900,211742,509589,412025,1870,1400,1121,2966,296,32948,14161,No,Yes,,Yes,Yes,,Yes,,,No,,35.184747,-76.74705,Ridges,6306,503579,Downsizing,Yes,Yes,Priya Sharma,6.26
"514 Adam Skyway Apt. 098 Port Timothy, MD 85235","514 Adam Skyway Apt. 098 Port Timothy, MD 85235",Null,Null,MLS, ,,,514 Adam Skyway Apt. 098,Port Timothy,MD,85235,Townhouse,Far,,3.25,683,,Yes,,,,1988,552,5625,Garage,1,4,Yes,Colonial,11.06,8.73,No,3,3353,357073,368826,364179,1395,2758,1416,1854,192,84823,96301,No,No,No,Yes,No,,Yes,,,Yes,,37.962181,-82.822362,Junction,6362,393183,Job Transfer,Yes,,David Thompson,9.47
"702 Brown Harbors East Reneefurt, FL 71664","702 Brown Harbors East Reneefurt, FL 71664",Closed,Cancelled,Bulk,Florida,,Flood Zone,702 Brown Harbors,East Reneefurt,FL,71664,SFR,Near,,1.5,467,Yes,No,Yes,Well,,2024,3248,4824,Street,4,2,Yes,Ranch,10.12,19.35,No,4,3018,372391,353739,212021,1575,2266,1473,2877,364,23305,68414,Yes,,,No,Yes,,No,Yes,No,No,Yes,39.193027,-91.227001,Crossroad,6067,421503,Job Transfer,,,Sophia Williams,4.09
"38867 Norris Highway Apt. 276 Lake Scottchester, NY 95168","38867 Norris Highway Apt. 276 Lake Scottchester, NY 95168",Accepted Offer,Cancelled,Bulk,Florida,,Minimal Flood,38867 Norris Highway Apt. 276,Lake Scottchester,NY,95168,Duplex,Near,,1.38,1955,No,No,,Well,City,1957,763,2902,Driveway,4,4,No,,10.13,8.16,Yes,5,2069,465401,178486,293125,1527,3719,1948,3250,66,5643,45279,No,,No,Yes,No,Yes,Yes,,,Yes,No,39.41769,-85.763643,Mountain,6295,471029,Investor Sale,No,,Priya Sharma,9.24
"791 Brian Loaf Greenbury, CO 87908","791 Brian Loaf Greenbury, CO 87908",Cancelled,Cancelled,Opendoor,Dalas,No,,791 Brian Loaf,Greenbury,CO,87908,Townhouse,Far,,2.46,1603,,Yes,No,Well,City,1971,2339,2861,Street,3,2,Yes,,3.5,15.73,,2,823,420002,404421,461495,1005,2204,1017,1576,89,80785,43839,No,Yes,,No,No,Yes,No,Yes,,Yes,No,36.136826,-73.032258,Spring,2175,449815,Investor Sale,No,No,Emily Patel,6.0
"69912 Hernandez Glen Paulfort, PR 37313","69912 Hernandez Glen Paulfort, PR 37313",Cancelled,Null,Auction.com,Dalas,No,Minimal Flood,69912 Hernandez Glen,Paulfort,PR,37313,SFR,,Far,1.4,1689,No,,Yes,City,Septic,2016,2527,2698,Driveway,6,4,No,Split,8.9,8.75,,1,1738,433582,470757,496301,2581,1164,992,1129,221,74972,74423,No,No,Yes,No,Yes,,Yes,,No,No,Yes,38.015072,-84.003652,Orchard,9117,300057,Downsizing,No,No,Jessica Lin,6.44
"655 Jason Forge Aguilarfurt, AZ 93480","655 Jason Forge Aguilarfurt, AZ 93480",Closed,Always Kick,Opendoor,Chicgo,No,,655 Jason Forge,Aguilarfurt,AZ,93480,Duplex,,Near,2.15,1362,,,No,Well,Septic,1998,820,3366,Garage,4,4,,Split,7.37,9.06,,1,2230,203316,275251,447544,987,1488,1949,3059,469,5704,42029,,No,Yes,,,Yes,No,No,,,,38.794495,-75.631593,Parkways,2973,250023,,No,No,Michael Chen,7.86
"884 Richard Cliffs Apt. 899 North Timothy, MP 88037","884 Richard Cliffs Apt. 899 North Timothy, MP 88037",Offered, ,Auction.com,Tampa,No,Minimal Flood,884 Richard Cliffs Apt. 899,North Timothy,MP,88037,Condo,Near,Far,2.8,845,,,No,,,1961,2063,2190,Driveway,3,1,Yes,Colonial,6.35,9.57,No,3,1225,169852,495273,130509,2700,2418,1149,1138,33,31114,95977,,Yes,,No,No,,No,Yes,,No,,36.913919,-84.721284,River,2960,557508,Investor Sale,Yes,Yes,Jessica Lin,9.72
"024 Franco Ramp Suite 849 West Louisville, AS 53345","024 Franco Ramp Suite 849 West Louisville, AS 53345",New,Closed,M L S,Dalas,Yes,Flood Zone,024 Franco Ramp Suite 849,West Louisville,AS,53345,Duplex,Near,,1.78,1778,No,No,No,City,Septic,1956,2146,6935,Garage,2,1,Yes,,11.1,15.57,Yes,5,1565,169841,388940,265837,1188,1441,1677,2396,355,7692,3832,Yes,Yes,,,,Yes,Yes,Yes,,,No,34.105982,-80.657986,Camp,2828,515964,Investor Sale,No,,Jessica Lin,5.0
"088 Cox Land Rachelland, AR 74686","088 Cox Land Rachelland, AR 74686",Accepted Offer,Cancelled,Broker,Chicago,No,,088 Cox Land,Rachelland,AR,74686,SFR,,Far,1.29,1594,,,Yes,City,Septic,1989,2031,6956,,3,1,No,Ranch,6.55,14.87,Yes,2,1464,230807,485791,533944,3197,3643,1314,1706,166,97,47901,No,Yes,No,,No,No,No,No,No,No,No,40.038552,-85.395402,Tunnel,9460,437453,,No,,Jason Miller,4.24
"4740 Anthony Cape West Theresa, MA 34943","4740 Anthony Cape West Theresa, MA 34943",Offered,Closed,Opendoor,Dalas,Yes,,4740 Anthony Cape,West Theresa,MA,34943,Townhouse,Far,,1.51,76,No,Yes,Yes,Well,Septic,1988,2555,1711,Garage,2,3,Yes,Ranch,11.19,9.2,,4,2233,145589,349002,387207,3070,2206,1010,2805,494,68974,49482,,Yes,No,,Yes,Yes,,No,,Yes,,33.912014,-89.057935,View,2075,126712,Investor Sale,,No,Jason Miller,8.83
"3199 Payne Groves Apt. 306 East Regina, OR 07484","3199 Payne Groves Apt. 306 East Regina, OR 07484",Cancelled,Cancelled,Bulk,Chicgo,,Minimal Flood,3199 Payne Groves Apt. 306,East Regina,OR,07484,Condo,Near,,3.04,572,,Yes,No,Well,City,1989,2274,5664,Driveway,3,3,,,4.0,18.77,,5,1992,258321,394902,248577,1894,3002,1540,3060,143,44151,6108,Yes,Yes,,No,No,Yes,No,,No,No,No,36.367838,-94.185716,Flats,2778,573866,Job Transfer,Yes,No,Samantha Pierce,4.34
"4032 Anderson Station Suite 202 Kristinstad, AL 95237","4032 Anderson Station Suite 202 Kristinstad, AL 95237",New,Pend,Opendoor,Chicago,,Minimal Flood,4032 Anderson Station Suite 202,Kristinstad,AL,95237,Duplex,Far,Near,2.18,1874,,No,,City,City,1997,1918,6595,,1,2,No,,11.85,16.7,No,5,3136,297082,547653,330823,2613,1078,929,1808,439,70560,30547,,Yes,Yes,,No,No,No,Yes,No,Yes,,34.061844,-102.306612,Stream,6720,281059,Job Transfer,,,Emily Patel,8.56
